vendor,plan,action,firstMonthPrice,monthlyPrice,quarterlyPrice,yearlyPrice,models,hourlyRequests,monthlyRequests,benefits,note
豆包,基础版,https://www.doubao.com?ref=exclusive,9.9,29,79,299,"GPT-4,Claude-3.5",100,5000,"API 访问,优先响应","适合个人开发者，性价比高"
豆包,专业版,https://www.doubao.com?ref=exclusive,19.9,59,159,599,"GPT-4,Claude-3.5,Gemini Pro",200,10000,"API 访问,优先响应,技术支持","适合中小团队，技术支持完善"
豆包,企业版,https://www.doubao.com?ref=exclusive,99,299,799,2999,"全部模型",500,50000,"API 访问,优先响应,技术支持,专属客服","适合大型企业，全模型访问"
智谱,轻量版,https://www.zhipuai.cn?ref=exclusive,8.9,25,70,280,"GLM-4,GLM-3-Turbo",80,4000,"API 访问,基础支持","最便宜的入门方案"
智谱,标准版,https://www.zhipuai.cn?ref=exclusive,17.9,49,139,499,"GLM-4,GLM-3-Turbo,CodeGeeX",150,7500,"API 访问,优先响应,技术支持","平衡性能与价格"
智谱,高级版,https://www.zhipuai.cn?ref=exclusive,89,269,749,2699,"全部模型",450,45000,"API 访问,优先响应,技术支持,专属客服","最强性能，专业开发者首选"
通义千问,入门版,https://www.aliyun.com?ref=exclusive,10.9,32,88,352,"Qwen-Turbo,Qwen-Plus",110,5500,"API 访问,基础支持","阿里云用户首选"
通义千问,进阶版,https://www.qwen.com?ref=exclusive,21.9,64,178,638,"Qwen-Turbo,Qwen-Plus,Qwen-Max",220,11000,"API 访问,优先响应,技术支持","支持Qwen最新模型"
通义千问,旗舰版,https://www.qwen.com?ref=exclusive,109,329,909,3269,"全部模型",550,55000,"API 访问,优先响应,技术支持,专属客服","阿里云生态深度集成"
月之暗面,基础版,https://www.moonshot.cn?ref=exclusive,11.9,35,98,392,"Moonshot-V1",120,6000,"API 访问,基础支持","长文本处理能力强"
月之暗面,标准版,https://www.moonshot.cn?ref=exclusive,23.9,69,193,688,"Moonshot-V1,Kimi-Plus",240,12000,"API 访问,优先响应,技术支持","支持Kimi最新模型"
月之暗面,专业版,https://www.moonshot.cn?ref=exclusive,119,359,989,3549,"全部模型",600,60000,"API 访问,优先响应,技术支持,专属客服","全模型访问，长文本优势"
